[2026-09-15T06:40:56.949Z] SOAK STARTED
[2026-09-15T08:15:58.249Z] STATS | QUEUED: 144788 | IMPORTING: 28 | STAGED: 0 | RETRY: 11 | PUBLISHED_TOTAL: 8245 | AVG_RATE: 1.86/min
[2026-09-15T08:20:59.131Z] STATS | QUEUED: 144852 | IMPORTING: 23 | STAGED: 0 | RETRY: 10 | PUBLISHED_TOTAL: 8252 | AVG_RATE: 1.84/min
[2026-09-15T08:25:58.034Z] STATS | QUEUED: 145072 | IMPORTING: 26 | STAGED: 0 | RETRY: 12 | PUBLISHED_TOTAL: 8256 | AVG_RATE: 1.79/min
[2026-09-15T08:30:58.190Z] STATS | QUEUED: 145675 | IMPORTING: 28 | STAGED: 0 | RETRY: 14 | PUBLISHED_TOTAL: 8264 | AVG_RATE: 1.78/min
[2026-09-15T08:35:58.361Z] STATS | QUEUED: 146118 | IMPORTING: 27 | STAGED: 0 | RETRY: 14 | PUBLISHED_TOTAL: 8270 | AVG_RATE: 1.76/min
[2026-09-15T08:40:58.465Z] STATS | QUEUED: 146125 | IMPORTING: 30 | STAGED: 0 | RETRY: 10 | PUBLISHED_TOTAL: 8281 | AVG_RATE: 1.77/min
[2026-09-15T08:45:58.257Z] STATS | QUEUED: 146808 | IMPORTING: 31 | STAGED: 0 | RETRY: 12 | PUBLISHED_TOTAL: 8287 | AVG_RATE: 1.75/min
[2026-09-15T08:50:58.405Z] STATS | QUEUED: 147137 | IMPORTING: 30 | STAGED: 0 | RETRY: 14 | PUBLISHED_TOTAL: 8294 | AVG_RATE: 1.74/min
[2026-09-15T08:55:58.269Z] STATS | QUEUED: 147640 | IMPORTING: 29 | STAGED: 0 | RETRY: 11 | PUBLISHED_TOTAL: 8300 | AVG_RATE: 1.72/min
[2026-09-15T09:00:58.569Z] STATS | QUEUED: 147804 | IMPORTING: 32 | STAGED: 0 | RETRY: 11 | PUBLISHED_TOTAL: 8316 | AVG_RATE: 1.77/min
[2026-09-15T09:22:05.149Z] STATS | QUEUED: null | IMPORTING: 31 | STAGED: 0 | RETRY: null | PUBLISHED_TOTAL: null | AVG_RATE: -50.07/min
[2026-09-15T09:24:48.455Z] STATS | QUEUED: null | IMPORTING: null | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: null | AVG_RATE: -49.24/min
[2026-09-15T09:48:29.126Z] STATS | QUEUED: null | IMPORTING: null | STAGED: null | RETRY: null | PUBLISHED_TOTAL: null | AVG_RATE: -43.02/min
